concentration
0.07
0.24
0.39
0.54
0.61
0.72
0.81
0.82
0.84
0.90
0.95
0.98
1.02
1.08
1.14
1.20
1.20
1.26
1.29
1.30
1.37
1.40
1.44
1.58
1.62
1.68
1.85
2.10
